,Date,Open,High,Low,Close,Volume,per_change
0,2026-01-21,₹406.5,₹409.5,₹397.0,₹402.65,19150437,-0.95
1,2026-01-22,₹406.0,₹418.3,₹406.0,₹417.3,19763144,2.78
2,2026-01-23,₹419.0,₹419.0,₹408.5,₹410.7,12715222,-1.98
3,2026-01-27,₹416.45,₹419.25,₹411.6,₹415.95,15482165,-0.12
4,2026-01-28,₹418.0,₹457.5,₹417.3,₹453.0,71986647,8.37
5,2026-01-29,₹454.25,₹455.95,₹438.25,₹444.5,42412510,-2.15
6,2026-01-30,₹446.85,₹451.95,₹439.3,₹449.0,36680275,0.48
