,Date,Open,High,Low,Close,Volume,per_change
0,2026-01-28,₹418.0,₹457.5,₹417.3,₹453.0,71986647,8.37
1,2026-01-29,₹454.25,₹455.95,₹438.25,₹444.5,42412510,-2.15
2,2026-01-30,₹446.85,₹451.95,₹439.3,₹449.0,36680275,0.48
